"page"	"term"	"title"	"authors"	"year"	"n_citations"	"abstract"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"An embryological study of Eriolaena candollei Wallich (Malvaceae) and its systematic implications"	"YA Tang, H Gao, J Xie"	"2009"	24	"… members of other tribes in traditional Tiliaceae and Sterculiaceae with respect to a number 
of apomorphic features, and Eriolaena also differs from them also considerably in morphology…"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"Fruits and Pollen of Malvoideae (Malvaceae) in the Maastrichtian–Danian Deccan Intertrappean Beds of Central India"	"SR Manchester, DK Kapgate"	"2023"	NA	"Malvaceae were an important component of vegetation represented in the Deccan Intertrappean 
beds in central India, as verified by fruits and pollen. We review the extinct schizocarpic …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"Going north and south: The biogeographic history of two Malvaceae in the wake of Neogene Andean uplift and connectivity between the Americas"	"C Hoorn, R van der Ham, F de la Parra"	"2019"	23	"… In our study we review the pollen morphology and botanical affinity of Rhoipites guianensis 
… of Grewioideae, a second at the base of Byttnerioideae, and a final at the split between these …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Microsporogenesis and ultrastructure of pollen grains in the cocoa plant, Theobroma cacao (Malvaceae)"	"EJ Rincón-Barón, GA Torres-Rodríguez"	"2023"	2	"… En general los granos de polen de la subfamilia Byttnerioideae se caracterizan por la 
presencia de aberturas simples: poros, o compuestas: colporos, y por una ornamentación …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] A Nomenclatural Conspectus Of Waltheria L.(Malvaceae, Bytterioideae) In Brazil"	"JG Saunders, LJ Dorr"	"2022"	3	"… Se provee una revisión general de la nomenclatura de las especies de Waltheria (Malvaceae, Byttnerioideae) que se encuentran en Brasil. Se presentan las sinonimias de 33 especies…"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"3D pollination biology using micro‐computed tomography and geometric morphometrics in Theobroma cacao"	"KA Wolcott, EL Stanley, OA Gutierrez"	"2023"	1	"… (A, B) Overall floral morphology from above and side views … In Table 1, we report the floral morphology measurements of … with concealed anthers in the Byttnerioideae, such as those …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Micromorphology and ultrastructure of anthers and pollen grains in ten elite genotypes of Theobroma cacao (Malvaceae)"	"EJ Rincón-Barón, DA Zarate"	"2021"	1	"… (Malvaceae-Byttnerioideae) muestran una gran variabilidad en las aberturas (colporados, 
pantoporados y pantocolporados) pero no se observan granos colpados. De acuerdo a …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"World Pollen and Spore Flora 23. Malvaceae Adams. Pp Subfamilies: Grewioideae, Tilioideae, Brownlowioideae"	"A Perveen, E Grafström, G El-Ghazaly"	"2004"	36	"… taxon sampling from the subfamilies not investigated and molecular investigations 
incorporating taxa documented in this study will be required to confirm whether pollen morphology …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Localized Phylogenetic Discordance Among Nuclear Loci Due to Incomplete Lineage Sorting and Introgression in the Family of Cotton and Cacao …"	"R Hernández-Gutiérrez, C van den Berg"	"2022"	NA	"… We also found that Helicterioideae and Byttnerioideae need to be further sampled and 
analyzed in the context to the remaining Malvadendrina groups and the relationships within them. …"
9	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Fossil fruits of Firmiana and Tilia from the middle Miocene of South Korea and the efficacy of the Bering land bridge for the migration of mesothermal plants"	"LB Jia, GS Nam, T Su, GW Stull, SF Li, YJ Huang"	"2021"	5	"… The morphology of living species was studied from specimens kept in the Herbarium of the 
Institute of Botany, Chinese Academy of Sciences (PE), and the Herbarium of the Kunming …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] PALEOCENE MALVACEAE FROM NORTHERN SOUTH AMERICA"	"SL Wing, R Callejas"	"2011"	NA	"… This species is assigned to Malvoideae, based on overall leaf morphology and the … (such 
as species of Heliocarpus and Luehea) and Byttnerioideae ( Abroma spp.), which used to be …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Karyotypic stability in the paleopolyploid genus Ceiba Mill. (Bombacoideae, Malvaceae)"	"A Figueredo, ÁW de L. Oliveira"	"2016"	9	"… The present work analyzed the karyotypic diversity of the paleopolyploid genus Ceiba based 
on chromosome counts, morphology, double staining with the fluorochromes chromomycin …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic relationships of the durians (Bombacaceae-Durioneae or/Malvaceae/Helicteroideae/Durioneae) based on chloroplast and nuclear ribosomal DNA …"	"R Nyffeler, DA Baum"	"2000"	58	"The circumscription and phylogenetic position of the tribe Durioneae (Bombacaceae or /Malvaceae/Helicteroideae) 
was investigated by supplementing a previously publishedndhF …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Systematics of Trichostema L. (Lamiaceae) and phylogenetic relationships with its disjunct taxa in Asia"	"M Huang"	"2002"	9	"… Parsimony analyses of morphology and sequences from the … not a member of section 
Orthopodium, morphology and all analyses of the … The evolution of gynoecial morphology and the …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"The timing of Malvales evolution: incorporating its extensive fossil record to inform about lineage diversification"	"R Hernandez-Gutierrez, S Magallon"	"2019"	33	"… Subfamily Byttnerioideae is represented by very recent fossils, which we did not include in 
… variety of growth forms, flower and fruit morphology, and biome occupation, thus possibly …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Floral development of Lavatera trimestris and Malva hispanica reveals the nature of the epicalyx in the Malva generic alliance"	"MA Bello, A Martínez-Asperilla"	"2016"	7	"… The predominantly trimerous structure and leafy morphology of the epicalyx suggest its 
origin … is a swollen part of the style without a well-understood role in floral or fruit morphology. …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Microsporogenesis and microgametogenesis of Excentrodendron hsienmu (Malvaceae sl) and their systematic implications"	"YA Tang, HUI Gao, CM Wang"	"2006"	20	"… from that of Burretiodendron, their floral morphology is very similar. Such a … morphology 
and the similarity in floral morphology raise an interesting question as to how floral morphology …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic analysis of Theobroma (Sterculiaceae) based on Kunitz-like trypsin inhibitor sequences"	"CR Sousa Silva, A Figueira"	"2005"	54	"… The phylogeny of the trypsin inhibitor sequences was congruent with the phylogenetic 
hypotheses of the Theobroma and Herrania species based on morphology. The monophyly of …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollination and seed dispersal modes of woody species of 12-year-old secondary forest in the Atlantic Forest region of Pernambuco, NE Brazil"	"TM Kimmel, LM do Nascimento, D Piechowski"	"2010"	30	"The ability of degraded areas to recover secondary vegetation and the degree of integrity of 
plant–animal interactions of the resulting vegetation is getting increasingly important for …"
10	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] WILLIAM S. ALVERSON, 2, 6, 10 KENNETH G. KAROL, 2, 7 DAVID A. BAUM, 3 MARK W. CHASE, 4 SUSAN M. SWENSEN, 4, 8 RICHARD MCCOURT, 5, 9 …"	"RS DATA"	"1998"	NA	"… Secondly, the separation of Byttneria and Theobroma (subfamily Byttnerioideae) from the 
rest of Sterculiaceae and their sister group position (along with some Tiliaceae) to the other …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Indo‐Asian Eriolaena expanded to include two Malagasy genera, and other generic realignments based on molecular phylogenetics of Dombeyoideae (Malvaceae)"	"LJ Dorr, KJ Wurdack"	"2021"	2	"… Fruit were not available to Candolle (1823) and thus he was unaware of seed morphology, 
… representatives of other Malvaceae subfamilies including Byttnerioideae (Theobroma L.), …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Neogene leaf morphotaxa of Malvaceae sl in Europe"	"G Worobiec, E Worobiec"	"2010"	23	"New interpretation of leaf fossils from the Neogene of Europe belonging to the family Malvaceae 
sl is given. Morphogenera Dombeyopsis Unger emend., Byttneriophyllum Givulescu ex …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Corrigendum to: A revision of Commersonia including Rulingia (Malvaceae sl or Byttneriaceae)"	"CF Wilkins, BA Whitlock"	"2012"	12	"A taxonomic revision and DNA sequence analysis of all species previously attributed to Rulingia 
R.Br. and Commersonia JRForst. & G.Forst. resulted in two major groupings, referred to …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Palynological study of heterostylous species of Melochia L.(Byttinerioideae-Malvaceae) occurring in Bahia, Brazil"	"CEAS Júnior, LCL e Lima, MD Saba"	"2015"	6	"… Melochia is included within the Malvaceae family and the Byttnerioideae subfamily, because 
… Thus, in this study, we characterized pollen morphology from heterostylous Melochia spp. …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic relationships within the tribe Malveae (Malvaceae, subfamily Malvoideae) as inferred from ITS sequence data"	"JA Tate, J Fuertes Aguilar, SJ Wagstaff"	"2005"	119	"Phylogenetic relationships among genera of tribe Malveae (Malvaceae, subfamily Malvoideae) 
were reconstructed using sequences of the internal transcribed spacer (ITS) region of the …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"First Fossil Mallow Flower from Asia"	"T Hazra, S Bera, MA Khan"	"2023"	NA	"… The purposes of this article are threefold: (1) to describe the morphology of the newly 
discovered fossil flower, (2) to assess its morphological affinities within Malvaceae, and (3) to …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"A revision of Melochia section Physodium (Sterculiaceae) from Mexico"	"LJ Dorr, LC Barnett"	"1989"	22	"… differ mainly with respect to fruit morphology and dehiscence. If, … members of the Sterculiaceae 
subfamily Byttnerioideae (R. Br.… based on wood anatomy of the Byttnerioideae by Metcalfe …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Obdiplostemony: the occurrence of a transitional stage linking robust flower configurations"	"L Ronse De Craene, K Bull-Herenu"	"2016"	19	"Background and Aims Obdiplostemony has long been a controversial condition as it diverges 
from diplostemony found among most core eudicot orders by the more external insertion of …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Stem anatomy of Grewia caffra (Malvaceae): an uncommon cambial variant in the order Malvales"	"G Gama, A Oskolski"	"2021"	4	"The genus Grewia comprises about 300 species widely distributed in Africa, Asia, and 
Australia. Most of its species are shrubs and small trees, but three species are climbers having …"
11	"intext:\"Byttnerioideae\" AND \"morphology\""	"Proposed new realignments in the angiosperms"	"RF Thome"	"1983"	625	"Our attempt at putatively phylogenetic classifications of Angiospermae, considering our vast 
ignorance of more than 120 million years of evolution of the class, must be very tentative …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Taxonomic Revision of Hannafordia (Lasiopetaleae: Sterculiaceae (Malvaceae sl))"	"CF Wilkins, JA Chappill"	"2001"	4	"… Taxonomic descriptions, a key, distribution maps, illustrations, anatomical findings and 
seed and seedling morphology are presented. A chromosome number of n = 10 is the first …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Structure, development and evolution of the androecium in Adansonieae (core Bombacoideae, Malvaceae sl)"	"H Janka, M von Balthazar, WS Alverson"	"2008"	11	"Androecium development and vasculature were studied in nine species of the Adansonieae 
clade (core Bombacoideae, Malvaceae sl). In early androecium development either distinct …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic relationships in the Neotropical bruchid genus Acanthoscelides (Bruchinae, Bruchidae, Coleoptera)"	"N Alvarez, J Romero Napoles, KW Anton"	"2006"	33	"Adaptation to host‐plant defences through key innovations is a driving force of evolution in 
phytophagous insects. Species of the neotropical bruchid genus Acanthoscelides Schilsky …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Ontogeny, anatomical structure and function of lobed stems in the evolution of the climbing growth form in Malvaceae (Byttneria Loefl.)"	"L Luna-Márquez, WV Sharber, BA Whitlock"	"2021"	6	"Background and Aims Byttneria is one of the few climbing genera in Malvaceae. Some Byttneria 
are known for their lobed stems. We explore the development of these stems, how they …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Foliar architecture of Indian members of the family Sterculiaceae and its systematic relevance"	"D Maity"	"2011"	1	"… Morphology- The mature leaves were taken for description of the morphological features, 
viz. shape and size of lamina, apex, margin, base, surface and venation patterns, along with …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Melhania steudneri (Sterculiaceae) new record for Egypt, and a synopsis of the Sterculiaceae in Egypt"	"E Shamso, R Hamdy"	"2010"	1	"The cultivated and indigenous taxa of Sterculiaceae in Egypt are systematically revised. This 
revealed the presence of 15 species, belonging to 10 genera, accepted as cultivated taxa …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Structure and evolution of the androecium in the Malvatheca clade (Malvaceae sl) and implications for Malvaceae and Malvales"	"M Balthazar, J Schönenberger, WS Alverson"	"2006"	45	"… The androecium of Byttnerioideae has proved easier to interpret. The androecium of both 
Byttneria (Baillon 1870, van Heel 1966) and Theobroma (Bayer and Hoppe 1990) is …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic Affinities among Sida Species and Allied Genera (Malvaceae: Malveae), and Examination of Sida fallax within the Hawaiian Islands and throughout the …"	"M Pejhanmehr"	"2022"	2	"Malveae has the greatest generic and species diversity of the three tribes of subfamily 
Malvoideae (Malvaceae) with approximately 70 genera and 1040 species. Within Malveae, Sida …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Plant parasitic Asterinaceae and Microthyriaceae from the Neotropics (Panama)"	"TA Hofmann"	"2010"	54	"Asterinaceae and Microthyriaceae are two families of inconspicuous and poorly studied 
fungi assigned to the Dothideomycetes (Ascomycota, Dikarya), one of the classes of …"
12	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative study of anther development, microsporogenesis and microgametogenesis in species of Corchorus, Heliocarpus, Luehea and Triumfetta Malvaceae …"	"E Lattar, BG Galati, MS Ferrucci"	"2014"	11	"… their species sharing the pollen type Grewia with Byttnerioideae. Perveen et al. (Citation2004… 
this work, according to their external and internal morphology, were grouped into two types. …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Molecular phylogeny of the genus Corchorus (Grewioideae, Malvaceae sl) based on nuclear rDNA ITS sequences"	"S Benor"	"2018"	16	"A molecular phylogenetic analysis of the genus Corchorus (Grewioideae, Malvaceae sl) is 
presented, based on sequences of the nuclear ribosomal DNA internal transcribed spacer (…"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Plant systematics in the next 50 years—re‐mapping the new frontier"	"KJ Sytsma, JC Pires"	"2001"	28	"… Of particular importance and urgency is the need to examine morphology and its evolution 
in the … Quantitative trait loci affecting differences in floral morphology between two species of …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Out of Madagascar, repeatedly: The phylogenetics and biogeography of Dombeyoideae (Malvaceae sl)"	"C Skema, L Jourdain-Fievet, JY Dubuisson"	"2023"	NA	"… erythroxylon, two species that we argue are sister species based on morphology. Given the 
rarity of material for this genus, we felt inclusion of the T. × benjaminii sample was useful to …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Seed and seedling morphology, and seed anatomy of Lasiopetaleae (Malvaceae sl or Sterculiaceae)"	"CF Wilkins, JA Chappill"	"2002"	15	"… There has been little comparative study of the seed and seedling morphology, or seed 
anatomy of Lasiopetaleae. The most comprehensive treatment of seed morphology and anatomy …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Junior Cezar Muneratto Luiz Antonio de Souza"	"OJG de Almeida"	"OJG de Almeida - Journal of the Botanical Research Institute of Texas - researchgate.net"	NA	"… General morphology of the flower in frontal view of Sida rhombifolia (a), S. urens (b), and S. 
regnellii (c); scanning electron micrographs (SEM) of the calyx surface showing trichomes in …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Systematics of Hermannia L.(Malvaceae): a taxonomic review of the genus"	"D Gwynne-Evans"	"2015"	1	"Hermannia, commonly known as dolls roses, is a genus of plants predominantly found in 
South Africa. While four species occur within North and Central America and one species in …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] The piedra chamana fossil woods (Eocene, Peru), II"	"DW Woodcock, HW Meyer, Y Prado"	"2019"	15	"This contribution presents descriptions of 14 fossil woods from the Piedra Chamana Fossil 
Forest in Peru, an assemblage of fossil woods and leaves dated at 39 Ma (late Middle Eocene…"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative floral development and androecium structure in Malvoideae (Malvaceae sl)"	"M von Balthazar, WS Alverson"	"2004"	35	"… Morphology. The epicalyx is large and four or five parted. Throughout development, it is … Morphology. The epicalyx lobes are congenitally fused and cover the developing flower …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"Fruits of Firmiana and Craigia (Malvaceae) from the Eocene of the Central Tibetan Plateau with emphasis on biogeographic history"	"C Del Rio, TX Wang, SF Li, LB Jia"	"2022"	2	"The fossil record evidences an old origin and diversification of Malvaceae in the Northern 
Hemisphere. The central Tibetan Plateau was at a low elevation with a monsoon influence …"
13	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Chloroplast genomes of genus Tilia: comparative genomics and molecular evolution"	"L Yan, H Wang, X Huang, Y Li, Y Yue, Z Wang"	"2022"	2	"… , which are Brownlowioideae, Bombacoideae, Byttnerioideae, Dombeyoideae, Grewioideae, 
… into three groups based on fruit morphology, Sect. Trichophilyra, Sect. Lindnera and Sect. …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"Evolution and diversity of the cotton genome"	"G Hu, CE Grover, J Jareczek, D Yuan, Y Dong"	"2021"	28	"We present an overview of Gossypium genome evolution and the implications of this 
understanding for targeted breeding objectives. The cotton genus (Gossypium) contains more than …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Elaborate petals and staminodes in eudicots: diversity, function, and evolution"	"PK Endress, ML Matthews"	"2006"	116	"… Although conspicuous, they are commonly the most structurally simple organs, if morphology 
and histology are considered together. The presence of petals is a typical feature of …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Malvaceae from Serra do Lenheiro, Minas Gerais, Brazil"	"MTR Costa, MG Bovini, LL Alves, GC Castro, M Sobral"	"2023"	NA	"We present a taxonomic treatment of the Malvaceae from Serra do Lenheiro, a montane range 
in the municipality of São João del-Rei, Minas Gerais, Brazil, in order to contribute to the …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"At the beginning and at the end: Combined mechanisms of prior and delayed self-pollination interact to make a “winner” species"	"A Domingos-Melo, T de Lima Nadia, IC Machado"	"2018"	5	"… Our exploratory analyses also served to determine the measurements of floral morphology 
and events in the anthesis sequence. From these observations we outlined the experimental …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"Floral development and systematics ofCistaceae"	"OI Nandi"	"1998"	47	"The floral development of representatives of six genera ofCistaceae has been studied. 
Calyx development involves the formation of a ring primordium in several taxa. Androecium …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Studies on Systematics and Biology of Endemic Tree Genera of Western Ghats India"	"S Rajkumar"	"2001"	2	"… In this scheme two major clades were proposed, one constituting Grewioide&e and Byttnerioideae groups and the other remaining genera of core Malvales. In Tiliaceae, the genus …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"Plastid genomic in neglected and unconventional botanical families as tool for genetic, evolutionary and phylogenetic analyses"	"TG Pacheco"	"2020"	NA	"Normally, the plastid genome (plastome) of land plants contains 100-130 genes, which are 
organized in a DNA molecule of 120-160 kb. The plastome sequencing molecule has been …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"Significance of Seed Storage Protein and Seed Morphological Characters in the Classification of Some Species of Malvaceae sl"	"ZM Ibrahim, SA Hassan, EA Karakish"	"2023"	NA	"In this study, we evaluated the storage proteins, macro- and micromorphological characters 
of seeds from 49 species belonging to 34 genera and seven subfamilies of the Malvaceae sl …"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Systematics 2008-Programme and Abstracts"	"SR Gradstein, S Klatt, F Normann, P Weigelt"	"2008"	1	"… Together with subfamily Byttnerioideae, they represent the first … In contrast to Byttnerioideae, 
staminodes occur only in the … comparison of floral structures with Byttnerioideae, where a dif…"
14	"intext:\"Byttnerioideae\" AND \"morphology\""	"Morphogenesis of fruits and types of fruit of angiosperms"	"AVFC Bobrov, MS Romanov"	"2019"	62	"Morphological and anatomical fruit characters are used for description of morphogenetic fruit 
types within eight traditional fruit types – follicle, nutlet, drupe, berry, capsule, pyrenarium, …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"Reproductive assurance through autogamy in some annual weed species"	"KR Shivanna"	"2014"	19	"… Based on floral morphology and the behavior of visitors, cross-pollination seems to occur to 
some extent only in two of the studies species (Stachytarpheta and Triumfetta), although the …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Cladistic analysis of some taxa in Malvaceae sl “Core Malvales” based on anatomical characteristics"	"ZM Ibrahim, SA Hassan, HM El-Azab"	"2018"	8	"Malvaceae sl “Core Malvales” in their broad circumscription include members of four 
traditional families; Malvaceae ss, Bombacaceae, Sterculiaceae and Tiliaceae. The aim of the …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"The immense diversity of floral monosymmetry and asymmetry across angiosperms"	"PK Endress"	"2012"	97	"… is not in how common monosymmetry is in the larger clades but whether it occurs at all in 
an order or family throughout the angiosperms and how it is expressed in morphology. …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"Leaf variegation in Caladium steudneriifolium (Araceae): a case of mimicry?"	"U Soltau, S Dötterl, S Liede-Schumann"	"2009"	62	"… (Malvaceae-Byttnerioideae) may act as an adaptation to high light habitats (ie, the Spatial 
Heterogeneity Hypothesis). Smith (1986), however, also noticed that both morphs were …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"Two new reports of ancient rainforest trees from the Azuero Peninsula, Panama"	"OJ Rodríguez-Reyes, E Estrada-Ruiz"	"2020"	3	". Silicified woods are abundant on the Azuero Peninsula in Panama, but only five publications 
document Oligocene–Miocene occurrences in the region. In this article, we present two …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Chloroplast genome of Hibiscus rosa-sinensis (Malvaceae): comparative analyses and identification of mutational hotspots"	"F Mehmood, I Shahzadi, S Waseem, B Mirza, I Ahmed"	"2020"	102	"… morphology, this family has been classified into nine subfamilies including Brownlowioideae, 
Bombacoideae, Byttnerioideae, … in genus Hibiscus due to its plastic morphology [14,15]. …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"Taxonomy and biocontrol potential of a new species of Trichoderma from the Amazon basin of South America"	"KA Holmes, HJ Schroers, SE Thomas, HC Evans"	"2004"	151	"… Conidiophore and conidium morphology place the endophytic isolates in Trichoderma sect. 
Trichoderma, where they are most similar to T. koningii and the undescribed species Tkon 20…"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"Evolution of the Cotton Genus, Gossypium, and Its Domestication in the Americas"	"CR Viot, JF Wendel"	"2023"	8	"Gossypium, the cotton genus, includes ∼50 species distributed in tropical and sub-tropical 
regions of all continents except Europe. Here we provide a synopsis of the evolutionary …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"A new Australian genus, Androcalva, separated from Commersonia (Malvaceae sl or Byttneriaceae)"	"CF Wilkins, BA Whitlock"	"2011"	7	"A new genus, Androcalva CFWilkins & Whitlock, is here described and includes 22 species 
previously described as Commersonia, four species formerly described as Rulingia and …"
15	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] J, LIA YAMAGISHIÑCOSTA 3, ANA M. BONETTI 2, AND PAULO E. OLIVEIRA 3, 5"	"RC MARINHO, C MENDESÑRODRIGUES, F BALAO"	"RC MARINHO, C MENDESÑRODRIGUES, F BALAO… - researchgate.net"	NA	"… lowest number was found for the Byttnerioideae and MalvoidÑ eae (2 ns 10) and the 
highest for the Tilioideae (2 ns 328). No chromosome count for the ninth subfamily, …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative analyses of chloroplast genomes among three Firmiana species: Identification of mutational hotspots and phylogenetic relationship with other species of …"	"I Shahzadi, F Mehmood, Z Ali, MS Malik, S Waseem"	"2019"	67	"Firmiana is a small genus of subfamily Sterculioideae of family Malvaceae. Previously, 
Firmiana genus was ignored, and its phylogenetics was not elucidated at genus level. Here, we …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] hispanica reveals the nature of the epicalyx in the Malva generic alliance"	"MA BELLO, A MARTÍNEZ-ASPERILLA"	"2016"	NA	"… To interpret epicalyx morphology and development in the … characteristics, their epicalyx morphology is highly contrasting, … and the differential gynoecial morphology of L. trimestris and …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"Megasporogenesis and embryo sac development in Excentrodendron hsienmu (Malvaceae) with reference to the systematic affinities of Excentrodendron"	"GAO Hui, T Ya, Z Li‐Yun"	"2006"	6	"Abstract: Abstract Segregation of Excentrodendron and Burretiodendron has hardly been 
accepted despite their distinct pollen morphology. Megasporogenesis and embryo sac …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] A revision of the Lasiopetalum floribundum group (Malvaceae), including recognition of four new species"	"KA Shepherd, CF Wilkins"	"2017"	5	"… Phylogenetic relationships and floral evolution of the Byttnerioideae (“Sterculiaceae” or … 
Seed and seedling morphology and seed anatomy of Lasiopetaleae (Malvaceae sl or …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Cacao, Chocolate and Conservation A Kinship Garden for the Genus Theobroma"	"AM Kapuler"	"AM Kapuler - peaceseedslive.com"	NA	"… The preaeminent botanists following Linneaus all used the flower morphology system as the 
basic organizing principle for deducing a tree of life for the plants. Some of the traits used to …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Karyotype variation in cultivars and spontaneous cocoa mutants (Theobroma cacaoL.)"	"GSF Figueiredo, CAF Melo, MM Souza"	"2013"	2	"… On the other hand, translocations may be associated with changes in chromosome morphology; they do not imply loss or gain of genetic material, but may alter the chromosome …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"19-million-year-old Spondioid fruits from panama reveal a dynamic dispersal history for Anacardiaceae"	"F Herrera, MR Carvalho, C Jaramillo"	"2019"	9	"… The morphology of the three new Panamanian species unequivocally supports a 
relationship with extant members of the Anacardiaceae and in particular with the subfamily …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"Angiosperm floral evolution: morphological developmental framework"	"PK Endress"	"2006"	228	"This chapter brings together aspects of floral development and evolution in angiosperms 
derived from the diversity of structures of extant plants. It provides a framework especially …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"Taxonomic revision of Guichenotia (Lasiopetaleae: Malvaceae sl or Sterculiaceae)"	"CF Wilkins, JA Chappill"	"2003"	4	"… These two clades are unresolved relative to Lasiopetalum by cladistic analysis of their morphology. Guichenotia ss is maintained as a genus, the species of which are revised here, …"
16	"intext:\"Byttnerioideae\" AND \"morphology\""	"Genetic Investigation of Wild Species of Subfamily Malvoideae in Saudi Arabia as Inferred From SCoT and ISSR Markers"	"S Al-Ruzayza"	"2020"	NA	"… These studies are based on one or two traits such as life ١٨٠ forms, carpel morphology, 
number and position of ovules in each carpel, fruits, and ١٨١ seeds. Morphological characters in …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"Morphological and Anatomical Studies on Some Taxa of Sub Family Malvoideae (Malvaceaes. l)"	"WM Said, ZM Ahmed, TR Mohamed"	"2018"	5	"Morphological and anatomical studies were carried out on four ( two wild and two cultivated) 
species belonging tosub family Malvoideae (Malvaceae sl) and collected from different …"
